country,total_cases,total_deaths,new_cases,new_deaths,id_pandemic,id_calendar,id
China,548,17,0,0,1,126,153
Japan,2,0,0,0,1,126,127
South Korea,1,0,0,0,1,126,109
Taiwan*,1,0,0,0,1,126,65
Thailand,2,0,0,0,1,126,61
US,1,0,0,0,1,126,120
China,643,18,95,1,1,129,153
Japan,2,0,0,0,1,129,127
Singapore,1,0,1,0,1,129,141
South Korea,1,0,0,0,1,129,109
Taiwan*,1,0,0,0,1,129,65
Thailand,3,0,1,0,1,129,61
US,1,0,0,0,1,129,120
Vietnam,2,0,2,0,1,129,66
China,920,26,277,8,1,132,153
France,2,0,2,0,1,132,157
Japan,2,0,0,0,1,132,127
Singapore,3,0,2,0,1,132,141
South Korea,2,0,1,0,1,132,109
Taiwan*,3,0,2,0,1,132,65
Thailand,5,0,2,0,1,132,61
US,2,0,1,0,1,132,120
Vietnam,2,0,0,0,1,132,66
China,1406,42,486,16,1,134,153
France,3,0,1,0,1,134,157
Japan,2,0,0,0,1,134,127
Malaysia,3,0,3,0,1,134,104
Nepal,1,0,1,0,1,134,24
Singapore,3,0,0,0,1,134,141
South Korea,2,0,0,0,1,134,109
Taiwan*,3,0,0,0,1,134,65
Thailand,7,0,2,0,1,134,61
US,2,0,0,0,1,134,120
Vietnam,2,0,0,0,1,134,66
Australia,4,0,4,0,1,137,99
Canada,1,0,1,0,1,137,36
China,2075,56,669,14,1,137,153
France,3,0,0,0,1,137,157
Japan,4,0,2,0,1,137,127
Malaysia,4,0,1,0,1,137,104
Nepal,1,0,0,0,1,137,24
Singapore,4,0,1,0,1,137,141
South Korea,3,0,1,0,1,137,109
Taiwan*,4,0,1,0,1,137,65
Thailand,8,0,1,0,1,137,61
US,5,0,3,0,1,137,120
Vietnam,2,0,0,0,1,137,66
Australia,5,0,1,0,1,68,99
Cambodia,1,0,1,0,1,68,4
Canada,1,0,0,0,1,68,36
China,2877,82,802,26,1,68,153
France,3,0,0,0,1,68,157
Germany,1,0,1,0,1,68,52
Japan,4,0,0,0,1,68,127
Malaysia,4,0,0,0,1,68,104
Nepal,1,0,0,0,1,68,24
Singapore,5,0,1,0,1,68,141
South Korea,4,0,1,0,1,68,109
Sri Lanka,1,0,1,0,1,68,79
Taiwan*,5,0,1,0,1,68,65
Thailand,8,0,0,0,1,68,61
US,5,0,0,0,1,68,120
Vietnam,2,0,0,0,1,68,66
Australia,5,0,0,0,1,69,99
Cambodia,1,0,0,0,1,69,4
Canada,2,0,1,0,1,69,36
China,5509,131,2632,49,1,69,153
France,4,0,1,0,1,69,157
Germany,4,0,3,0,1,69,52
Japan,7,0,3,0,1,69,127
Malaysia,4,0,0,0,1,69,104
Nepal,1,0,0,0,1,69,24
Singapore,7,0,2,0,1,69,141
South Korea,4,0,0,0,1,69,109
Sri Lanka,1,0,0,0,1,69,79
Taiwan*,8,0,3,0,1,69,65
Thailand,14,0,6,0,1,69,61
US,5,0,0,0,1,69,120
Vietnam,2,0,0,0,1,69,66
Australia,6,0,1,0,1,71,99
Cambodia,1,0,0,0,1,71,4
Canada,2,0,0,0,1,71,36
China,6087,133,578,2,1,71,153
Finland,1,0,1,0,1,71,42
France,5,0,1,0,1,71,157
Germany,4,0,0,0,1,71,52
Japan,7,0,0,0,1,71,127
Malaysia,7,0,3,0,1,71,104
Nepal,1,0,0,0,1,71,24
Singapore,7,0,0,0,1,71,141
South Korea,4,0,0,0,1,71,109
Sri Lanka,1,0,0,0,1,71,79
Taiwan*,8,0,0,0,1,71,65
Thailand,14,0,0,0,1,71,61
US,5,0,0,0,1,71,120
United Arab Emirates,4,0,4,0,1,71,83
Vietnam,2,0,0,0,1,71,66
Australia,9,0,3,0,1,41,99
Cambodia,1,0,0,0,1,41,4
Canada,2,0,0,0,1,41,36
China,8141,171,2054,38,1,41,153
Finland,1,0,0,0,1,41,42
France,5,0,0,0,1,41,157
Germany,4,0,0,0,1,41,52
India,1,0,1,0,1,41,35
Japan,11,0,4,0,1,41,127
Malaysia,8,0,1,0,1,41,104
Nepal,1,0,0,0,1,41,24
Philippines,1,0,1,0,1,41,166
Singapore,10,0,3,0,1,41,141
South Korea,4,0,0,0,1,41,109
Sri Lanka,1,0,0,0,1,41,79
Taiwan*,9,0,1,0,1,41,65
Thailand,14,0,0,0,1,41,61
US,5,0,0,0,1,41,120
United Arab Emirates,4,0,0,0,1,41,83
Vietnam,2,0,0,0,1,41,66
Australia,9,0,0,0,1,44,99
Cambodia,1,0,0,0,1,44,4
Canada,4,0,2,0,1,44,36
China,9802,213,1661,42,1,44,153
Finland,1,0,0,0,1,44,42
France,5,0,0,0,1,44,157
Germany,5,0,1,0,1,44,52
India,1,0,0,0,1,44,35
Italy,2,0,2,0,1,44,135
Japan,15,0,4,0,1,44,127
Malaysia,8,0,0,0,1,44,104
Nepal,1,0,0,0,1,44,24
Philippines,1,0,0,0,1,44,166
Russia,2,0,2,0,1,44,146
Singapore,13,0,3,0,1,44,141
South Korea,11,0,7,0,1,44,109
Sri Lanka,1,0,0,0,1,44,79
Sweden,1,0,1,0,1,44,67
Taiwan*,10,0,1,0,1,44,65
Thailand,19,0,5,0,1,44,61
US,7,0,2,0,1,44,120
United Arab Emirates,4,0,0,0,1,44,83
United Kingdom,2,0,2,0,1,44,82
Vietnam,2,0,0,0,1,44,66
Australia,12,0,3,0,1,49,99
Cambodia,1,0,0,0,1,49,4
Canada,4,0,0,0,1,49,36
China,11891,259,2089,46,1,49,153
